# N = 200
# R_0 = 0.03
# v_0 = 0.05
# step = 100000
# Calculation time ~ 30 sec
#
# η   <Φ>_t
0.1   0.9164123322475201
0.2   0.7431873158543961
0.25  0.6341760226379074
0.3   0.519646879983944
0.35  0.40488367098194555
0.4   0.2964151582672775
0.45  0.21041868272757797
0.5   0.14880024286819465
0.55  0.10928722420354355
0.6   0.08652625000585355
0.65  0.07439842196416374
0.7   0.06827478060533992
0.75  0.06513051197676616
0.8   0.0640414105045492
0.9   0.06282738930860954
